Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,Latitude,Longitude
RMIT - City Campus,17-21 Cardigan Street,Carlton,VIC,3053,"75, 22",AUD 0.30 per kWh,1,"33, 25",-37.8061682,144.9642204
Arts Centre Car Park,180 St Kilda Road,Southbank,VIC,3006,2.4,"Charging is Free, Area Restricted",2,1,-37.82249,144.96877
11 Nicholson Street,11 Nicholson Street,Carlton,VIC,3053,"10,10","Charging is Free, Parking is Paid",2,1,-37.8037576,144.9735155
Lorbek Luxury Cars,30 Prohasky Street,Port Melbourne,VIC,3207,11,$0.31/kWh,8,1036,-37.8321407,144.9199738
Tesla Supercharger South Melbourne,261 Clarendon Street,South Melbourne,VIC,3205,250,Paid times vary $0.44 to 0.64/kWh,6,33,-37.8319174,144.9609254
Collingwood Library,13 Stanton Street,Abbotsford,VIC,3067,"50, 50, 50, 50",$0.40/kWh,2,"33, 2, 33, 2",-37.8044576,144.9932754
JET Charge Office,350 Bridge Street,Port Melbourne,VIC,3207,"80, 80, 22",AUD 0.60 per kWh,1,"2, 33, 1036",-37.8288115,144.9353554
Evie Richmond Library,4-6 Charlotte Street,Richmond,VIC,3121,75,$0.50–$0.55/kWh,2,33,-37.8266705,145.0069684
Tesla Supercharger,"650, Church Street",Cremorne,VIC,3121,120,AUD 0.42/kWh;other tariffs for older cars,4,33,-37.8322143,144.9964367
Woolworths Fishermans Bend,Plumber Street,Fishermans Bend,VIC,3207,50,$0.55/kWh,2,33,-37.8273585,144.902539
Middy's Port Melbourne,2 Thackray Road,Port Melbourne,VIC,3207,"25, 25",$0.40 per kWh (at all times),1,"33, 2",-37.8281395,144.9263487
Ampcharge Barkly Square,90-106 Sydney Road,Brunswick,VIC,3056,150,$0.55–$0.65kWh,8,33,-37.775432,144.9629044
ENGIE - VIctoria Gardens,620 Victoria Street,Richmond,VIC,3121,"100, 100",AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm),1,"2, 33",-37.8128137,145.0111032
GET Electric Head Office,327 Plummer Street,Port Melbourne,VIC,3207,11,$0.24/kWh,6,25,-37.8332089,144.9197642
Brunswick EV Hub,15 Edward Street,Brunswick,VIC,3056,"80, 7",Free,4,"33, 25",-37.773814,144.961926
David Street Car Park,1 David Street,Brunswick,VIC,3056,22,Free,2,25,-37.7714668,144.9620332
RMIT Brunswick,25 Dawson Street,Brunswick,VIC,3056,22,$0.30 per kWh,1,25,-37.7720434,144.9580861
Fleming Park,4 -6 Cross Street,Brunswick East,VIC,3057,"7, 7",Free,2,"25, 25",-37.7690846,144.9752445
The Parade Ascot Vale Car Park,66-68 The Parade,Ascot Vale,VIC,3032,"50, 50, 50, 50",$0.40 per kWh parking overstay charges may apply.,2,"2, 33, 33, 2",-37.7725204,144.9150864
Moonee Ponds Central,14 - 16 Hall Street,Moonee Ponds,VIC,3039,"22, 22",Free,1,"1, 25",-37.7656801,144.923
St Kilda Town Hall,164 Carlisle Street,St Kilda,VIC,3182,"3.5, 2.4",Free,2,"25, 29",-37.8680265,144.9895481
Swinburne University - TC Building,Falmouth Street,Hawthorn,VIC,3122,"50, 50",Charging is free. Parking is free.,1,"33, 2",-37.8201858,145.041572
City of Stonnington,290 Glenferrie Road,Malvern,VIC,3144,"50, 50",AUD 0.45 per kWh,1,"33, 2",-37.8558206,145.0296182
Malvern Central,122 Wattletree Road,Armadale,VIC,3144,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2, 33, 2",-37.862392,145.0274941
Coburg Civic Centre / Moreland City,90 Bell Street,Coburg,VIC,3058,"50, 22, 50",Free,4,"33, 25, 2",-37.7409531,144.9697883
Camberwell Supercharger,793 Burke Road,Camberwell,VIC,3124,120,AUD 0.42/kWh;other tariffs for older cars,6,33,-37.8293846,145.056573
Monash Caufield,880 Dandenong Road,Malvern East,VIC,3145,"50, 50",Free,1,"33, 2",-37.8760131,145.0436128
Bayside Gateway,301-307 Nepean Highway,Brighton East,VIC,3186,"75, 75",55c/kWh,6,"2, 33",-37.9004482,145.0071645
Austin Tower Carpark Level B1,145 Studley Road,Heidelberg,VIC,3084,"22, 22",$0.25 per kWh,4,"25, 25",-37.7553922,145.0574729
Coburg North EV Fast Charge,11 Boundary Road,Coburg North,VIC,3058,"50, 50",Free to use for a 1 hour session.,1,"33, 2",-37.7192719,144.9615233
Oak Park Sports & Aquatic Centre,563 Pascoe Vale Road,Oak Park,VIC,3064,"22, 7", Free to use for 3 hour sessions,3,"25, 1",-37.7235415,144.9202372
Bayside Willansby Avenue,47 Willansby Avenue,Brighton,VIC,3186,"50, 50, 50, 50",$0.45 per kWh,2,"33, 2, 2, 33",-37.9059279,145.0036127
Woolworths Heidelberg,451 Lower Heidelberg Road,Mornington,VIC,3084,"44, 44, 7, 7, 7, 7, 7, 7",Free,16,"33, 33, 25, 25, 25, 25, 25, 25",-37.7591406,145.0684654
Tesla Supercharger Brighton East,Hope Street,Brighton East,VIC,3186,250,$0.69/kWh,3,33,-37.9073305,145.0109581
Toyota Altona,Grieve Parade,Altona,VIC,3025,"75, 75",$0.45–$0.50 / kWh,3,"33, 2",-37.8365127,144.8260814
CB Smith Reserve,99 Jukes Road,Fawkner,VIC,3060,"25, 25",Free,1,"33, 2",-37.702185,144.9681221
Hobsons Bay Civic Centre,115 Civic Parade,Altona,VIC,3018,"50, 50",Free,1,"33, 2",-37.8636692,144.8310393
